District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production,Source_File,Season,Year,Predicted_Production,Production_Gap,Gap_Percentage,Prediction_Accuracy,Performance
COLOMBO,1141.0,85.0,3367.0,4594.0,85.0,1141.0,3365.0,4592.0,2564.0,3426.0,3218.0,3251.0,3903.0,12687.0,2004 - 2005 Maha.csv,Maha,2004 - 2005,14959.557385450273,-2272.5573854502727,-17.91248825924389,82.08751174075611,Below Expected
GAMPAHA,1170.0,1192.0,7811.0,10173.0,1191.0,1170.0,7809.0,10170.0,3226.0,3500.0,3430.0,3408.0,8644.0,29460.0,2004 - 2005 Maha.csv,Maha,2004 - 2005,35117.077062341545,-5657.077062341545,-19.202569797493364,80.79743020250663,Below Expected
KALUTARA,1938.0,96.0,11608.0,13642.0,93.0,1936.0,11581.0,13610.0,3344.0,2594.0,2913.0,2865.0,12556.0,35971.0,2004 - 2005 Maha.csv,Maha,2004 - 2005,41068.76155746674,-5097.761557466743,-14.171864995320519,85.82813500467948,Below Expected
GALLE,175.0,0.0,14323.0,14498.0,0.0,174.0,13769.0,13943.0,0.0,3614.0,3719.0,3711.0,10912.0,40494.0,2004 - 2005 Maha.csv,Maha,2004 - 2005,37100.10302277413,3393.8969772258715,8.381234200686203,91.61876579931379,Above Expected
MATARA,2809.0,3615.0,8439.0,14862.0,3610.0,2752.0,8333.0,14695.0,4415.0,3859.0,3498.0,3785.0,11602.0,43912.0,2004 - 2005 Maha.csv,Maha,2004 - 2005,44527.25488277261,-615.2548827726132,-1.401108769294528,98.59889123070548,As Expected
RATNAPURA,6733.0,1899.0,3786.0,12419.0,1899.0,6627.0,3702.0,12228.0,4138.0,2895.0,2717.0,3028.0,10394.0,31472.0,2004 - 2005 Maha.csv,Maha,2004 - 2005,39096.64457451141,-7624.644574511411,-24.226755765478554,75.77324423452144,Below Expected
KEGALLE,2284.0,0.0,6638.0,8923.0,0.0,2282.0,6636.0,8919.0,0.0,3549.0,3361.0,3403.0,8355.0,28430.0,2004 - 2005 Maha.csv,Maha,2004 - 2005,25886.210152048465,2543.789847951535,8.947554864409199,91.0524451355908,Above Expected
KURUNEGALA,24805.0,11742.0,24874.0,61421.0,11733.0,24598.0,24163.0,60493.0,4354.0,3231.0,3354.0,3492.0,60493.0,211245.0,2004 - 2005 Maha.csv,Maha,2004 - 2005,235063.3909450809,-23818.3909450809,-11.275244831868637,88.72475516813137,Below Expected
PUTTALAM,5133.0,4745.0,683.0,10561.0,4725.0,5108.0,677.0,10510.0,4190.0,3279.0,3626.0,3704.0,8933.0,33090.0,2004 - 2005 Maha.csv,Maha,2004 - 2005,42317.10251428276,-9227.102514282757,-27.884867072477356,72.11513292752264,Below Expected
KANDY,5411.0,4034.0,4117.0,13563.0,4034.0,5394.0,4098.0,13526.0,4718.0,2777.0,3232.0,3488.0,10697.0,37309.0,2004 - 2005 Maha.csv,Maha,2004 - 2005,40194.19842789752,-2885.1984278975215,-7.733250496924391,92.2667495030756,Below Expected
MATALE,7147.0,5328.0,3438.0,15913.0,5328.0,7095.0,3361.0,15783.0,4568.0,3633.0,3520.0,3918.0,14194.0,55614.0,2004 - 2005 Maha.csv,Maha,2004 - 2005,51927.55268359476,3686.4473164052397,6.628631848824468,93.37136815117553,Above Expected
NUWARAELIYA,4406.0,1233.0,121.0,5760.0,1233.0,4405.0,121.0,5759.0,3795.0,4577.0,3178.0,4374.0,3245.0,14194.0,2004 - 2005 Maha.csv,Maha,2004 - 2005,16280.211228672817,-2086.211228672817,-14.697838725326315,85.30216127467368,Below Expected
BADULLA,8666.0,10359.0,3087.0,22112.0,10359.0,8666.0,3087.0,22112.0,5006.0,3923.0,2771.0,4264.0,18795.0,80143.0,2004 - 2005 Maha.csv,Maha,2004 - 2005,79743.73212020597,399.2678797940316,0.4981943273823436,99.50180567261765,As Expected
MONARAGALA,5762.0,4841.0,5311.0,15913.0,4795.0,5761.0,5306.0,15862.0,4539.0,3908.0,3362.0,3910.0,15545.0,60780.0,2004 - 2005 Maha.csv,Maha,2004 - 2005,63052.30170005166,-2272.301700051663,-3.7385681145963523,96.26143188540365,As Expected
JAFFNA,0.0,0.0,7636.0,7636.0,0.0,0.0,7231.0,7231.0,0.0,0.0,2214.0,2214.0,6417.0,14207.0,2004 - 2005 Maha.csv,Maha,2004 - 2005,17350.27900047878,-3143.2790004787785,-22.12486098739198,77.87513901260802,Below Expected
KILLINOCHCHI,526.0,9759.0,9185.0,19470.0,8492.0,491.0,8129.0,17113.0,3859.0,3866.0,3047.0,3461.0,15186.0,52558.0,2004 - 2005 Maha.csv,Maha,2004 - 2005,62185.20493752637,-9627.204937526367,-18.317296962453607,81.68270303754639,Below Expected
VAVUNIYA,5237.0,3039.0,163.0,8439.0,3017.0,5162.0,143.0,8322.0,3463.0,3873.0,1944.0,3685.0,7851.0,28934.0,2004 - 2005 Maha.csv,Maha,2004 - 2005,33256.60546031005,-4322.605460310049,-14.93953639424224,85.06046360575776,Below Expected
MULATIVU,2697.0,4417.0,4704.0,11819.0,4172.0,2475.0,3714.0,10362.0,3704.0,4528.0,2503.0,3464.0,9776.0,33863.0,2004 - 2005 Maha.csv,Maha,2004 - 2005,34987.50951800107,-1124.5095180010685,-3.3207616513630467,96.67923834863696,As Expected
MANNAR,1388.0,8117.0,24.0,9529.0,8117.0,1388.0,24.0,9529.0,4236.0,4127.0,0.0,4203.0,9098.0,38240.0,2004 - 2005 Maha.csv,Maha,2004 - 2005,38496.55609487004,-256.55609487003676,-0.6709102899321046,99.32908971006789,As Expected
ANURADHAPURA,32157.0,25693.0,3303.0,61153.0,25692.0,32050.0,3269.0,61011.0,4965.0,4272.0,4098.0,4549.0,49059.0,223169.0,2004 - 2005 Maha.csv,Maha,2004 - 2005,243282.05734778728,-20113.057347787282,-9.01247814337443,90.98752185662556,Below Expected
POLONNARUWA,1682.0,50341.0,1157.0,53180.0,49785.0,1491.0,946.0,52222.0,5048.0,4222.0,3627.0,4992.0,46196.0,230608.0,2004 - 2005 Maha.csv,Maha,2004 - 2005,247812.96069924068,-17204.960699240677,-7.460695508933202,92.5393044910668,Below Expected
