District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production,Source_File,Season,Year
COLOMBO,1141.0,85.0,3367.0,4594.0,85.0,1141.0,3365.0,4592.0,2564.0,3426.0,3218.0,3251.0,3903.0,12687.0,2004 - 2005 Maha.csv,Maha,2004 - 2005
GAMPAHA,1170.0,1192.0,7811.0,10173.0,1191.0,1170.0,7809.0,10170.0,3226.0,3500.0,3430.0,3408.0,8644.0,29460.0,2004 - 2005 Maha.csv,Maha,2004 - 2005
KALUTARA,1938.0,96.0,11608.0,13642.0,93.0,1936.0,11581.0,13610.0,3344.0,2594.0,2913.0,2865.0,12556.0,35971.0,2004 - 2005 Maha.csv,Maha,2004 - 2005
GALLE,175.0,0.0,14323.0,14498.0,0.0,174.0,13769.0,13943.0,0.0,3614.0,3719.0,3711.0,10912.0,40494.0,2004 - 2005 Maha.csv,Maha,2004 - 2005
MATARA,2809.0,3615.0,8439.0,14862.0,3610.0,2752.0,8333.0,14695.0,4415.0,3859.0,3498.0,3785.0,11602.0,43912.0,2004 - 2005 Maha.csv,Maha,2004 - 2005
RATNAPURA,6733.0,1899.0,3786.0,12419.0,1899.0,6627.0,3702.0,12228.0,4138.0,2895.0,2717.0,3028.0,10394.0,31472.0,2004 - 2005 Maha.csv,Maha,2004 - 2005
KEGALLE,2284.0,0.0,6638.0,8923.0,0.0,2282.0,6636.0,8919.0,0.0,3549.0,3361.0,3403.0,8355.0,28430.0,2004 - 2005 Maha.csv,Maha,2004 - 2005
KURUNEGALA,24805.0,11742.0,24874.0,61421.0,11733.0,24598.0,24163.0,60493.0,4354.0,3231.0,3354.0,3492.0,60493.0,211245.0,2004 - 2005 Maha.csv,Maha,2004 - 2005
PUTTALAM,5133.0,4745.0,683.0,10561.0,4725.0,5108.0,677.0,10510.0,4190.0,3279.0,3626.0,3704.0,8933.0,33090.0,2004 - 2005 Maha.csv,Maha,2004 - 2005
KANDY,5411.0,4034.0,4117.0,13563.0,4034.0,5394.0,4098.0,13526.0,4718.0,2777.0,3232.0,3488.0,10697.0,37309.0,2004 - 2005 Maha.csv,Maha,2004 - 2005
MATALE,7147.0,5328.0,3438.0,15913.0,5328.0,7095.0,3361.0,15783.0,4568.0,3633.0,3520.0,3918.0,14194.0,55614.0,2004 - 2005 Maha.csv,Maha,2004 - 2005
NUWARAELIYA,4406.0,1233.0,121.0,5760.0,1233.0,4405.0,121.0,5759.0,3795.0,4577.0,3178.0,4374.0,3245.0,14194.0,2004 - 2005 Maha.csv,Maha,2004 - 2005
BADULLA,8666.0,10359.0,3087.0,22112.0,10359.0,8666.0,3087.0,22112.0,5006.0,3923.0,2771.0,4264.0,18795.0,80143.0,2004 - 2005 Maha.csv,Maha,2004 - 2005
MONARAGALA,5762.0,4841.0,5311.0,15913.0,4795.0,5761.0,5306.0,15862.0,4539.0,3908.0,3362.0,3910.0,15545.0,60780.0,2004 - 2005 Maha.csv,Maha,2004 - 2005
JAFFNA,0.0,0.0,7636.0,7636.0,0.0,0.0,7231.0,7231.0,0.0,0.0,2214.0,2214.0,6417.0,14207.0,2004 - 2005 Maha.csv,Maha,2004 - 2005
KILLINOCHCHI,526.0,9759.0,9185.0,19470.0,8492.0,491.0,8129.0,17113.0,3859.0,3866.0,3047.0,3461.0,15186.0,52558.0,2004 - 2005 Maha.csv,Maha,2004 - 2005
VAVUNIYA,5237.0,3039.0,163.0,8439.0,3017.0,5162.0,143.0,8322.0,3463.0,3873.0,1944.0,3685.0,7851.0,28934.0,2004 - 2005 Maha.csv,Maha,2004 - 2005
MULATIVU,2697.0,4417.0,4704.0,11819.0,4172.0,2475.0,3714.0,10362.0,3704.0,4528.0,2503.0,3464.0,9776.0,33863.0,2004 - 2005 Maha.csv,Maha,2004 - 2005
MANNAR,1388.0,8117.0,24.0,9529.0,8117.0,1388.0,24.0,9529.0,4236.0,4127.0,0.0,4203.0,9098.0,38240.0,2004 - 2005 Maha.csv,Maha,2004 - 2005
ANURADHAPURA,32157.0,25693.0,3303.0,61153.0,25692.0,32050.0,3269.0,61011.0,4965.0,4272.0,4098.0,4549.0,49059.0,223169.0,2004 - 2005 Maha.csv,Maha,2004 - 2005
