District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production
COLOMBO,1087,100,3236,4422,100,1085,3231,4416,3944,2858,3394,3275,3754,12292
GAMPAHA,1086,1227,7522,9835,1213,1071,7469,9753,3863,3541,3570,3603,8290,29869
KALUTARA,1896,94,11207,13197,93,1885,11182,13160,3207,3006,2833,2861,12140,34729
GALLE,175,-,13929,14104,-,175,13905,14079,-,3861,3493,3498,11019,38540
MATARA,2901,3541,8341,14782,3541,2899,8228,14667,4437,3676,3971,4025,11580,46608
RATNAPURA,6645,1868,3705,12219,1868,6631,3696,12196,4440,2836,2605,3012,10366,31221
KEGALLE,2223,-,6554,8777,-,2223,6553,8776,-,3940,4063,4032,8221,33151
KURUNEGALA,32699,12691,27942,73331,12691,32636,27879,73205,4262,3542,3512,3655,73205,267590
PUTTALAM,5361,5309,689,11360,5287,5296,680,11263,3762,3095,3807,3451,9573,33039
KANDY,5174,3859,3752,12784,3859,4993,3744,12595,4726,3261,2960,3620,9960,36060
MATALE,7221,5144,3541,15906,5144,7206,3523,15874,4176,3177,3047,3472,14275,49562
NUWARAELIYA,4569,1244,121,5935,1244,4569,121,5934,3795,3934,3581,3898,3344,13032
BADULLA,8555,10395,3212,22162,10394,8550,3212,22156,4767,4030,3354,4278,18832,80562
MONARAGALA,6154,5444,5148,16746,5444,6154,5148,16746,4700,3616,3578,3957,16411,64932
JAFFNA,-,-,7568,7568,-,-,7249,7249,-,-,1977,1977,6433,12719
KILLINOCHCHI,446,6589,9429,16464,5731,388,8205,14324,3542,2538,3246,3345,12711,42522
VAVUNIYA,6169,2910,251,9330,2896,6156,251,9303,4023,3862,3341,3898,8777,34214
MULATIVU,2026,3795,3760,9581,3562,1974,3699,9235,3883,3125,3641,3624,8713,31576
MANNAR,1334,8375,6,9715,8040,1280,6,9326,4251,3234,-,4108,8904,36584
ANURADHAPURA,31093,27316,3373,61782,27306,31030,3369,61705,4778,4383,3694,4520,49617,224258
POLONNARUWA,1610,50434,1132,53176,49922,1607,1131,52659,4955,4460,3627,4911,46582,228781
TRINCOMALEE,2918,14918,5907,23743,14565,2897,5733,23195,4300,3419,3390,3965,21548,85439
BATTICALOA,2058,17289,27426,46772,17156,2040,27378,46573,3346,3145,3125,3207,41106,131830
AMPARA,2031,54943,5741,62715,54942,2031,5660,62632,4729,3823,3364,4576,59858,273932
HAMBANTOTA,3527,15241,1112,19881,15241,3521,1111,19873,5249,4595,4099,5069,17363,88006
UDA_WALAWE,-,9904,-,9904,9904,-,-,9904,5681,-,-,5681,9706,55136
MAHAWELI_H,-,25106,-,25106,25106,-,-,25106,5303,-,-,5303,22515,119406
SRI_LANKA,138956,287735,164604,591295,285247,138295,162362,585903,4663,3730,3321,4069,524804,2135592
