District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production
COLOMBO,772,103,2957,3832,103,763,2942,3809,2959,2777,3282,3172,3238,10269
GAMPAHA,1317,1359,4825,7501,1359,1314,4796,7470,3182,3262,3255,3243,6349,20592
KALUTARA,1812,118,10438,12368,96,1661,9092,10849,3332,2976,2695,2743,10008,27454
GALLE,104,-,14025,14130,-,83,13427,13510,-,3942,3021,3027,10573,32005
MATARA,3351,3941,8683,15975,3922,3332,8658,15912,4263,3679,3553,3755,12562,47167
RATNAPURA,6092,1951,3287,11331,1919,6041,3249,11210,4596,3730,2618,3556,9529,33882
KEGALLE,2393,-,5039,7431,-,2390,5034,7424,-,3077,3440,3323,6955,23111
KURUNEGALA,30152,13865,24895,68912,13865,29687,24636,68188,3642,3074,2958,3148,68188,214632
PUTTALAM,7016,6664,804,14484,6638,6759,794,14192,4136,3460,2914,3746,12063,45184
KANDY,3921,4073,3636,11629,4073,3917,3626,11617,4722,3125,3799,3895,9186,35782
MATALE,5122,5402,1436,11960,5374,5077,1424,11874,4346,3513,2629,3784,10679,40409
NUWARAELIYA,1595,454,38,2087,445,1563,37,2045,3875,3636,3636,3688,1152,4250
BADULLA,4431,8195,121,12746,8195,4428,121,12744,4901,4070,4070,4605,10832,49877
MONARAGALA,5772,6298,1647,13716,6298,5766,1548,13612,4401,4161,4161,4272,13339,56987
JAFFNA,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KILLINOCHCHI,40,4373,-,4413,3642,38,-,3681,3094,2320,-,3086,3266,10078
VAVUNIYA,3136,1829,4,4969,1646,2822,4,4472,4389,4391,4391,4390,4219,18523
MULATIVU,543,2600,-,3143,2189,445,-,2634,3094,2320,-,2963,2485,7362
MANNAR,64,920,-,984,828,58,-,886,4288,4288,-,4288,846,3626
ANURADHAPURA,23203,25823,107,49133,25581,22547,106,48235,4610,4154,4154,4396,38786,170500
POLONNARUWA,2528,51953,-,54481,51942,2518,-,54460,5000,4380,-,4971,48176,239485
TRINCOMALEE,2022,13274,-,15296,13232,1912,-,15145,4606,3797,-,4504,14069,63370
BATTICALOA,1112,16434,182,17728,16409,1111,182,17702,3954,3805,3805,3943,15624,61609
AMPARA,1686,58341,140,60168,58321,1662,140,60124,4948,4242,4225,4927,57461,283081
HAMBANTOTA,3996,19110,1395,24500,19105,3960,1386,24451,5015,3925,3025,4725,21363,100947
UDA_WALAWE,-,10718,-,10718,10503,-,-,10503,6198,-,-,6198,10293,63793
MAHAWELI_H,-,17758,-,17758,17758,-,-,17758,5403,-,-,5403,15926,86055
SRI_LANKA,112181,275555,83659,471396,273444,109856,81205,464506,4748,3630,3111,4195,417167,1750029
