District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production
COLOMBO,117,971,3418,4506,117,970,3418,4504,3568,3501,3568,3554,3829,13605
GAMPAHA,1565,2238,7023,10826,1556,2208,6914,10678,3415,3389,3327,3353,9076,30430
KALUTARA,128,2130,12426,14684,128,2112,12396,14637,2524,3071,3128,3115,13502,42055
GALLE,-,124,15806,15930,-,122,15527,15649,-,3255,3031,3032,12247,37139
MATARA,3964,3289,8918,16171,3907,3200,8680,15787,4097,3439,3491,3631,12464,45251
RATNAPURA,1983,7029,3983,12995,1979,7019,3968,12965,4772,3364,2980,3462,11021,38149
KEGALLE,-,2627,5552,8179,-,2605,5484,8089,-,3374,3886,3721,7578,28195
KURUNEGALA,13343,34561,29387,77291,13342,34479,28991,76812,4555,4104,3463,3940,76812,302664
PUTTALAM,7695,9988,1998,19680,7684,9971,1886,19541,4354,3751,3624,3976,16610,66038
KANDY,4136,5733,4202,14071,4121,5627,3746,13495,5103,3262,3059,3768,10672,40208
MATALE,6043,8661,4669,19374,5987,8504,4468,18958,4324,3548,3403,3759,17049,64090
NUWARAELIYA,1129,4238,208,5576,1126,4233,208,5567,4329,4098,4098,4145,3137,13002
BADULLA,10944,10371,5910,27225,10808,8803,506,20117,5223,3697,2370,4484,17099,76667
MONARAGALA,6854,7979,11696,26529,6623,5525,1470,13618,4942,4055,3377,4413,13346,58892
JAFFNA,-,-,8171,8171,-,-,7297,7297,-,-,2506,2506,6476,16230
KILLINOCHCHI,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VAVUNIYA,2257,4109,343,6709,2252,4101,343,6697,4763,4637,4822,4689,6319,29627
MULATIVU,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ANURADHAPURA,29488,44355,6880,80724,29447,43163,6549,79159,5083,4522,3341,4633,63652,294898
POLONNARUWA,53569,2270,1459,57298,53472,2151,1306,56929,5280,4680,3783,5223,50359,263014
TRINCOMALEE,14493,3211,5310,23014,14493,3211,5265,22969,4729,4419,3758,4463,21338,95236
BATTICALOA,19198,1718,24989,45905,19185,1711,24958,45854,3656,3577,3630,3639,40471,147278
AMPARA,60453,2302,7224,69979,60216,2068,6164,68448,5295,4151,4152,5158,65416,337390
HAMBANTOTA,19516,4578,1480,25575,19321,4514,1480,25315,5445,4987,4281,5295,22117,117115
UDA_WALAWE,11517,-,-,11517,11517,-,-,11517,6517,-,-,6517,11287,73557
MAHAWELI_H,24849,-,-,24849,24849,-,-,24849,6036,-,-,6036,22285,134501
SRI_LANKA,298180,162897,171053,632130,297065,156714,151025,604804,5102,4070,3407,4421,539271,2383989
