District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production
COLOMBO,87,973,3002,4062,87,973,3002,4062,3508,3692,3568,3597,3453,12418
GAMPAHA,1758,3388,6030,11176,1758,3380,6015,11153,3959,3955,3573,3750,9480,35547
KALUTARA,93,2321,11224,13638,93,2310,11179,13582,3250,3249,3073,3105,12529,38898
KANDY,4089,5462,2441,11992,4089,5426,2430,11944,4845,3709,3295,4013,9446,37909
MATALE,6948,9036,5184,21168,6908,8940,5160,21008,5179,4296,3556,4404,18892,83208
NUWARAELIYA,1015,4373,29,5418,1015,4373,29,5418,2952,5840,2727,5282,3053,16125
GALLE,102,723,13317,14141,102,723,13200,14024,3867,3940,3528,3552,10975,38984
MATARA,3953,3521,7871,15344,3705,3277,7630,14613,4416,3795,3810,3960,11537,45691
HAMBANTOTA,21216,6082,1648,28946,21093,6071,1638,28802,6958,5950,3956,6575,25164,165450
JAFFNA,-,-,10219,10219,-,-,10031,10031,-,-,2388,2388,8902,21260
MANNAR,12984,2610,70,15663,12263,2494,67,14824,5663,4818,3094,5509,14154,77975
VAVUNIYA,4150,11801,2079,18030,4102,11644,2058,17803,3942,3690,3462,3722,16797,62512
MULATIVU,5919,3338,4830,14087,4038,2673,3014,9726,2836,3395,1853,2685,9176,24639
KILLINOCHCHI,10862,443,11423,22728,5370,229,5808,11407,3715,3829,4704,4221,10123,42725
BATTICALOA,22218,3236,40822,66276,21401,3110,38236,62747,2224,2065,2013,2088,55380,115630
AMPARA,63130,4027,15765,82921,62321,3802,14334,80456,4413,3307,2861,4084,76892,314015
TRINCOMALEE,18165,8015,8831,35011,16434,7464,7208,31107,3887,2172,3665,3424,28898,98955
KURUNEGALA,15040,38575,27965,81580,14825,38251,27774,80851,5388,4821,4476,4806,80851,388598
PUTTALAM,7889,10541,1925,20354,7085,9915,1830,18830,5382,4123,4142,4599,16005,73606
ANURADHAPURA,32134,53518,14946,100598,30327,50763,14202,95292,4878,4339,4051,4467,76624,342315
POLONNARUWA,55999,8122,2252,66372,54644,7160,2252,64055,5012,4066,4527,4889,56663,277045
BADULLA,11249,12114,5899,29262,11249,12109,5897,29255,5104,4669,4833,4869,24867,121086
MONARAGALA,9277,10385,17100,36762,9275,10368,17087,36730,5035,4383,3786,4270,35996,153684
RATNAPURA,2210,7062,3314,12586,2210,7058,3306,12574,4977,3676,3148,3766,10688,40249
KEGALLE,-,1763,3330,5093,-,1760,3328,5089,-,4333,3696,3916,4767,18669
UDA_WALAWE,12278,-,-,12278,12278,-,-,12278,6405,-,-,6405,12032,77070
MAHAWELI_H,23930,-,-,23930,23930,-,-,23930,5686,-,-,5686,21460,122013
SRI_LANKA,346695,211429,221516,779635,330602,204273,206715,741591,4848,4260,3383,4281,664804,2846276
