District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production
COLOMBO,5,113,284,402,5,113,280,398,2463,2236,2703,2567,338,869
GAMPAHA,841,391,671,1903,841,384,650,1875,2962,2714,2362,2703,1594,4308
KALUTARA,38,473,2288,2799,38,471,2277,2786,3179,3204,2898,2954,2570,7592
KANDY,3858,2492,1215,7565,3858,2489,1205,7552,4486,2292,3048,3533,5973,21103
MATALE,4381,2798,235,7414,4377,2758,229,7364,4987,4814,3814,4886,6623,32359
NUWARAELIYA,446,1569,2,2017,445,1568,2,2015,3815,3152,1656,3297,1135,3744
GALLE,-,10,1189,1199,0,10,1170,1180,0,2657,3152,3148,924,2908
MATARA,2147,1538,2719,6404,2094,1526,2714,6334,3558,3525,3953,3719,5000,18597
HAMBANTOTA,18790,3195,459,22444,18537,3076,429,22042,5224,5825,2687,5259,19258,101267
JAFFNA,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MANNAR,956,1460,-,2416,946,1054,-,2000,5283,3155,-,4162,1910,7949
VAVUNIYA,1123,2248,-,3371,1121,-,-,1121,4165,-,-,4165,1058,4405
MULATIVU,4059,1285,-,5344,4059,1285,-,5344,4333,4185,-,4297,5042,21666
KILLINOCHCHI,2382,60,-,2442,2382,60,-,2442,4380,3606,-,4360,2168,9452
BATTICALOA,22694,3483,1183,27360,22694,3483,1153,27330,3495,3709,3836,3536,24122,85305
AMPARA,60480,2125,1399,64004,60479,2125,1399,64003,4729,5440,5337,4766,61167,291520
TRINCOMALEE,16978,3985,-,20963,16978,3985,-,20963,4928,4754,-,4895,19474,95320
KURUNEGALA,13890,22112,14188,50190,13858,21614,13884,49356,4524,3459,2675,3537,49357,174599
PUTTALAM,6565,6901,684,14150,6377,6541,651,13569,3633,2960,3081,3282,11533,37850
ANURADHAPURA,19143,19538,20,38701,19085,19118,20,38223,4380,4208,5855,4295,30735,131995
POLONNARUWA,51258,5006,-,56264,51239,5006,-,56245,5029,5240,-,5047,49754,251131
BADULLA,8539,4123,17,12679,8539,4123,17,12679,4785,3656,2573,4415,10778,47583
MONARAGALA,6156,2998,251,9405,6156,2985,243,9384,4503,4153,3400,4363,9196,40121
RATNAPURA,1760,3596,849,6205,1741,3556,835,6132,5083,3992,3039,4172,5212,21745
KEGALLE,-,700,1762,2462,-,686,1732,2418,-,3416,3323,3349,2266,7588
UDA_WALAWE,10588,-,-,10588,10588,-,-,10588,6365,-,-,6365,10376,66042
MAHAWELI_H,6627,-,-,6627,6627,-,-,6627,5111,-,-,5111,5943,30374
SRI_LANKA,263704,92199,29415,385318,263064,88016,28890,379970,4715,3945,3092,4417,343506,1517392
