District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production
COLOMBO,324,710,2796,3830,324,710,2777,3811,3321,2236,2500,2521,3239,8166
GAMPAHA,1659,3076,6776,11511,1556,3036,6610,11202,2056,2671,3105,2842,9522,27059
KALUTARA,145,1573,10221,11939,129,1544,9893,11566,3716,2341,2583,2563,10669,27349
KANDY,4268,5181,2762,12211,4268,5176,2757,12201,3092,3190,3540,3235,9649,31211
MATALE,7628,7839,4525,19992,7593,7815,4512,19920,3089,3601,3304,3339,17914,59812
NUWARAELIYA,900,4133,11,5044,900,4126,8,5034,4652,3763,3870,3922,2836,11126
GALLE,144,1756,9335,11235,144,1706,9071,10921,2653,2825,2453,2514,8546,21486
MATARA,4259,3193,6233,13685,4105,2963,6110,13178,3149,2625,2573,2764,10404,28761
HAMBANTOTA,29498,5463,1143,36104,29438,5438,1131,36007,4144,3180,3202,3969,31459,124870
JAFFNA,-,-,11127,11127,-,-,7775,7775,-,-,2176,2176,6899,15013
MANNAR,16114,4257,95,20466,15995,4094,82,20171,2702,2534,1304,2662,19259,51276
VAVUNIYA,4432,12374,2053,18859,4432,12374,2053,18859,2524,2377,2020,2373,17793,42222
MULATIVU,8095,4462,7433,19990,8013,4411,7404,19828,2267,2619,2158,2305,18707,43110
KILLINOCHCHI,12171,577,14655,27403,12171,577,14655,27403,2847,2791,2172,2485,24317,60417
BATTICALOA,24312,3830,38378,66520,24312,3830,38378,66520,1918,1717,1456,1639,58711,96253
AMPARA,61692,4643,16107,82442,61535,4612,15083,81230,3046,2680,2141,2857,77631,221529
TRINCOMALEE,21078,7495,11077,39650,21071,7490,11068,39629,3199,2482,1762,2662,36815,98005
KURUNEGALA,17608,37541,26305,81454,17562,37171,25876,80609,3405,3060,3353,3229,80609,260302
PUTTALAM,8316,10591,2023,20930,7836,9793,1849,19478,2490,2281,2803,2415,16557,39985
ANURADHAPURA,52690,50615,13664,116969,52616,50328,13621,116565,3132,2698,2525,2873,93730,260448
POLONNARUWA,57364,6768,2404,66536,57364,6768,2404,66536,3175,2701,2506,3103,58858,182628
BADULLA,10490,8761,4944,24195,10490,8751,4944,24185,2830,3456,2686,3027,20557,62221
MONARAGALA,8708,10660,14993,34361,8693,10552,14943,34188,3957,3129,2321,2987,33504,100062
RATNAPURA,4168,5886,3038,13092,4164,5857,3020,13041,4524,2897,2676,3365,11085,37299
KEGALLE,-,1784,4517,6301,-,1779,4512,6291,-,3395,3540,3499,5894,20620
Total,356063,203168,216615,775846,354711,200901,210536,766148,3126,2802,2589,2853,685164,1931230
